u,v,km,type,kmph,name,travel_time_mins
sangli_st_stand,station_road,0.408,main,30.0,Station Road,0.816
station_road,sangli_railway_stn,0.58,main,30.0,Station Road,1.16
station_road,rest_station_rd,0.135,local,20.0,,0.405
rest_station_rd,balaji_nagar,1.212,local,20.0,,3.636
sangli_railway_stn,civil_hospital,0.729,main,30.0,,1.458
civil_hospital,balaji_nagar,0.48,local,20.0,,1.44
balaji_nagar,shivaji_nagar,0.788,local,20.0,,2.3640000000000003
shivaji_nagar,timber_area,0.98,local,20.0,,2.94
timber_area,timber_area_res,0.306,local,20.0,,0.9179999999999999
timber_area_res,station_road,0.84,local,20.0,,2.5199999999999996
timber_area,sangli_st_stand,0.742,local,20.0,,2.226
sangli_st_stand,harbhat_road,0.472,main,30.0,Harbhat Road,0.944
harbhat_road,rest_harbhat,0.118,local,20.0,,0.354
rest_harbhat,gaon_bhag,0.574,local,20.0,,1.7219999999999998
gaon_bhag,rest_gaon_bhag,0.191,local,20.0,,0.573
rest_gaon_bhag,rajwada,0.654,local,20.0,,1.962
harbhat_road,rajwada,0.515,main,30.0,Harbhat Road,1.03
gaon_bhag,khanbhag,0.625,local,20.0,,1.875
sangli_st_stand,khanbhag,0.942,main,30.0,,1.884
khanbhag,market_yard,0.66,main,30.0,Market Yard Road,1.32
khanbhag,rest_market_yard,0.463,local,20.0,,1.389
rest_market_yard,market_yard,0.282,local,20.0,,0.8459999999999999
market_yard,sangli_railway_stn,2.09,main,30.0,Market Yard Road,4.18
rajwada,rest_rajwada,0.211,local,20.0,,0.633
rest_rajwada,rajwada_peth,0.6,local,20.0,,1.7999999999999998
rajwada_peth,ganapati_mandir,0.272,local,20.0,,0.8160000000000001
ganapati_mandir,rajwada,0.508,local,20.0,,1.524
ganapati_mandir,irwin_bridge,0.734,main,30.0,Ganapati Mandir Road,1.468
irwin_bridge,amrai_garden,0.448,local,20.0,,1.344
amrai_garden,rest_amrai,0.23,local,20.0,,0.69
rest_amrai,sangli_south_jn,1.291,local,20.0,,3.8729999999999998
sangli_south_jn,ganapati_mandir,0.81,local,20.0,,2.43
sangli_south_jn,shivaji_nagar,1.152,main,30.0,,2.304
sangli_south_jn,south_bridge,1.231,main,30.0,,2.462
amrai_garden,rajwada,1.305,local,20.0,,3.915
irwin_bridge,sangliwadi,1.112,bridge,25.0,Irwin Bridge,2.6688000000000005
south_bridge,sangliwadi_east,1.289,bridge,25.0,Sangli South Bridge,3.0935999999999995
sangliwadi_east,sangliwadi,0.877,local,20.0,,2.6310000000000002
sangli_st_stand,smr_north,2.171,arterial,40.0,Sangli-Miraj Road,3.2565
shivaji_nagar,smr_north,1.157,arterial,40.0,Sangli-Miraj Road,1.7355
smr_north,smr_mid,0.872,arterial,40.0,Sangli-Miraj Road,1.308
smr_mid,dhamani_road,0.525,main,30.0,Dhamani Road,1.05
smr_mid,vishrambag_chowk,0.933,arterial,40.0,Sangli-Miraj Road,1.3995000000000002
vishrambag_chowk,smr_south,2.315,arterial,40.0,Sangli-Miraj Road,3.4724999999999997
walchand_gate,smr_south,1.88,arterial,40.0,Sangli-Miraj Road,2.82
smr_south,miraj_junction,3.878,arterial,40.0,Sangli-Miraj Road,5.817
smr_south,miraj_medical,3.721,main,30.0,,7.442
smr_south,kupwad_junction,4.189,main,30.0,Kupwad Road,8.378
vishrambag_east,kupwad_link,2.079,main,30.0,Kupwad Link Road,4.158
kupwad_link,kupwad_junction,1.622,main,30.0,Kupwad Link Road,3.244
kupwad_link,smr_south,2.66,main,30.0,,5.32
