id,num_id,name,locality,city_zone,lat,lon,type,nearest_node,distance_to_node_km
H_1,1,Jawahar Cooperative Housing Society,Vishrambag,Sangli,16.8576712,74.5902924,Housing Society,rest_dhamani,0.867
H_2,2,Shivbala Dadge Sankul Co-op Housing Society,Vishrambag,Sangli,16.8558009,74.5937287,Housing Society,rest_dhamani,0.59
H_3,3,Palash,Vishrambag,Sangli,16.8347625,74.5897656,Housing Society,vishrambag_society,1.013
H_4,4,Shivaji Housing Society,Chavan Colony,Sangli,16.8802211,74.5825576,Housing Society,madhavnagar_road,0.304
H_5,5,Mira Housing Society,Gokul Nagar,Sangli,16.8657521,74.5809318,Housing Society,sangli_railway_stn,0.878
H_6,6,Sukhakarta Residency,Vishrambag,Sangli,16.8520678,74.6007829,Apartment,campus_gate_north,0.47
H_7,7,Ahilyadevi Housing Society,Abhay Nagar,Sangli,16.8683663,74.5896576,Housing Society,madhavnagar_road,1.567
H_8,8,Vasantnagar Housing Society,Kupwad,Kupwad,16.8712239,74.6019615,Housing Society,kupwad_link,2.404
H_9,9,Khare Housing Owners Co-op Society,Vishrambag,Sangli,16.8343189,74.5931584,Housing Society,vishrambag_society,0.844
H_10,10,MSEB Housing Society,Vishrambag,Sangli,16.8374947,74.5950621,Housing Society,vishrambag_society,0.44
H_11,11,Nandan Housing Society,Gandhi Nagar,Sangli,16.8481409,74.591997,Housing Society,smr_mid,0.109
H_12,12,Swapnanagri,Meera Colony,Sangli,16.8366715,74.5966139,Colony,vishrambag_society,0.504
H_13,13,Vrindavan,Vishrambag,Sangli,16.856569,74.603533,Housing Complex,campus_gate_north,0.967
H_14,14,Vision City,Bhakti Nagar,Sangli,16.838902,74.5876699,Housing Society,vishrambag_res,0.897
H_15,15,Siddhivastupuram,Revenue Colony,Sangli,16.8481527,74.5825117,Township,smr_north,0.413
H_16,16,Dream Avenue Apartment,Gokul Nagar,Sangli,16.857334,74.573488,Apartment,station_road,0.224
H_17,17,Namrata Apartments,South Shivaji Nagar,Sangli,16.8503286,74.5811022,Apartment,smr_north,0.421
H_18,18,Indoshiva Pride,Bapat Mala,Sangli,16.849479,74.5824055,Apartment,smr_north,0.324
H_19,19,Gloria,Vyankatesh Nagar,Sangli,16.8689217,74.5742232,Apartment,sangli_railway_stn,0.904
H_20,20,Siddhivinayak Prerna Apartments,North Shivaji Nagar,Sangli,16.8592053,74.5753395,Apartment,sangli_railway_stn,0.199
